mysql root@(none):covid_data> select Name, Never_Mask, Rarely_Mask, Sometimes_Mask, Frequently_Mask, Always_Mask  from `County` order by `Always_Mask` desc;
+-----------------------------------+------------+-------------+----------------+-----------------+-------------+
| Name                              | Never_Mask | Rarely_Mask | Sometimes_Mask | Frequently_Mask | Always_Mask |
| Frederick                         | 0.028      | 0.036       | 0.062          | 0.113           | 0.762       |
| Franklin                          | 0.043      | 0.011       | 0.028          | 0.156           | 0.762       |
| Bergen                            | 0.020      | 0.014       | 0.053          | 0.151           | 0.762       |
| Cumberland                        | 0.032      | 0.006       | 0.058          | 0.142           | 0.762       |
| Catron                            | 0.054      | 0.039       | 0.036          | 0.109           | 0.762       |
| Sandoval                          | 0.017      | 0.015       | 0.096          | 0.110           | 0.762       |
| Limestone                         | 0.005      | 0.086       | 0.061          | 0.087           | 0.762       |
| Allegheny                         | 0.017      | 0.022       | 0.035          | 0.165           | 0.761       |
| Montgomery                        | 0.016      | 0.019       | 0.044          | 0.160           | 0.761       |
| Goochland                         | 0.034      | 0.043       | 0.065          | 0.097           | 0.761       |
| Northampton                       | 0.001      | 0.037       | 0.089          | 0.112           | 0.761       |
| Prince William                    | 0.047      | 0.027       | 0.055          | 0.110           | 0.761       |
| Benton                            | 0.084      | 0.011       | 0.064          | 0.080           | 0.761       |
| DuPage                            | 0.010      | 0.010       | 0.056          | 0.163           | 0.760       |
| Sullivan                          | 0.025      | 0.035       | 0.038          | 0.141           | 0.760       |
| Mathews                           | 0.001      | 0.001       | 0.049          | 0.190           | 0.760       |
| Skamania                          | 0.019      | 0.048       | 0.092          | 0.080           | 0.760       |
| Pima                              | 0.023      | 0.024       | 0.073          | 0.121           | 0.759       |
| Scott                             | 0.040      | 0.044       | 0.076          | 0.081           | 0.759       |
| Dawson                            | 0.030      | 0.023       | 0.074          | 0.115           | 0.759       |
| Island                            | 0.015      | 0.009       | 0.066          | 0.150           | 0.759       |
| Bernalillo                        | 0.036      | 0.014       | 0.057          | 0.135           | 0.758       |
