mysql root@(none):covid_data> select max(Cases.`Cases`) as `Cases`, C.`Name` as `County_Name`, S.`Name` as `State_Name`  from `County_Date_Cases` as Cases left join `County` as C on Cases.`County_ID` = C.`County_ID`  left join `State` as S on S.`State_ID` = C.`State_ID` group by C.`County_ID`;

+---------+-----------------------------------+----------------+
| Cases   | County_Name                       | State_Name     |
| 453     | Alexander                         | Illinois       |
| 1918    | Bond                              | Illinois       |
| 5945    | Boone                             | Illinois       |
| 666     | Brown                             | Illinois       |
| 3335    | Bureau                            | Illinois       |
| 482     | Calhoun                           | Illinois       |
| 1582    | Carroll                           | Illinois       |
| 1898    | Cass                              | Illinois       |
| 18404   | Champaign                         | Illinois       |
| 3336    | Christian                         | Illinois       |
| 1689    | Clark                             | Illinois       |
| 1436    | Clay                              | Illinois       |
| 5583    | Clinton                           | Illinois       |
| 5253    | Coles                             | Illinois       |
| 478884  | Cook                              | Illinois       |
| 2014    | Crawford                          | Illinois       |
| 1204    | Cumberland                        | Illinois       |
| 1284    | De Witt                           | Illinois       |
| 8520    | DeKalb                            | Illinois       |
| 2477    | Douglas                           | Illinois       |
| 77882   | DuPage                            | Illinois       |
| 1556    | Edgar                             | Illinois       |
| 528     | Edwards                           | Illinois       |
| 4508    | Effingham                         | Illinois       |
| 3071    | Fayette                           | Illinois       |
| 1604    | Ford                              | Illinois       |
| 4167    | Franklin                          | Illinois       |
| 2903    | Fulton                            | Illinois       |
| 438     | Gallatin                          | Illinois       |
| 1387    | Greene                            | Illinois       |
| 5209    | Grundy                            | Illinois       |
| 796     | Hamilton                          | Illinois       |
| 1685    | Hancock                           | Illinois       |
| 348     | Hardin                            | Illinois       |
| 504     | Henderson                         | Illinois       |
| 4360    | Henry                             | Illinois       |
| 2789    | Iroquois                          | Illinois       |
| 4623    | Jackson                           | Illinois       |
| 1113    | Jasper                            | Illinois       |
| 3998    | Jefferson                         | Illinois       |
| 2499    | Jersey                            | Illinois       |
| 1616    | Jo Daviess                        | Illinois       |
| 1355    | Johnson                           | Illinois       |
| 51237   | Kane                              | Illinois       |
| 12605   | Kankakee                          | Illinois       |
| 11509   | Kendall                           | Illinois       |
| 5026    | Knox                              | Illinois       |
| 10924   | LaSalle                           | Illinois       |
| 60155   | Lake                              | Illinois       |
| 2319    | Lawrence                          | Illinois       |
| 3383    | Lee                               | Illinois       |
| 4269    | Livingston                        | Illinois       |
| 3315    | Logan                             | Illinois       |
| 9531    | Macon                             | Illinois       |
| 4385    | Macoupin                          | Illinois       |
| 28259   | Madison                           | Illinois       |
| 4280    | Marion                            | Illinois       |
| 851     | Marshall                          | Illinois       |
| 1290    | Mason                             | Illinois       |
| 1285    | Massac                            | Illinois       |
| 2340    | McDonough                         | Illinois       |
| 24669   | McHenry                           | Illinois       |
| 14738   | McLean                            | Illinois       |
| 1044    | Menard                            | Illinois       |
| 1289    | Mercer                            | Illinois       |
| 4092    | Monroe                            | Illinois       |
| 3543    | Montgomery                        | Illinois       |
| 3684    | Morgan                            | Illinois       |
| 1503    | Moultrie                          | Illinois       |
| 5075    | Ogle                              | Illinois       |
| 17144   | Peoria                            | Illinois       |
| 3074    | Perry                             | Illinois       |
| 1343    | Piatt                             | Illinois       |
| 1702    | Pike                              | Illinois       |
| 284     | Pope                              | Illinois       |
| 671     | Pulaski                           | Illinois       |
| 422     | Putnam                            | Illinois       |
| 3985    | Randolph                          | Illinois       |
