mysql root@(none):covid_data> select c.`County_ID`, c.`Name`, c.`Never_Mask`, c.`Rarely_Mask` from `County` as c having (c.`Never_Mask` + c.`Rarely_Mask`) < 0.1;
+-----------+----------------------------+------------+-------------+
| County_ID | Name                       | Never_Mask | Rarely_Mask |
| 24025     | Harford                    | 0.008      | 0.009       |
| 24027     | Howard                     | 0.024      | 0.015       |
| 24029     | Kent                       | 0.005      | 0.014       |
| 24031     | Montgomery                 | 0.025      | 0.029       |
| 24035     | Queen Anne's               | 0.002      | 0.042       |
| 24037     | St. Mary's                 | 0.040      | 0.009       |
| 24039     | Somerset                   | 0.004      | 0.010       |
| 24041     | Talbot                     | 0.012      | 0.012       |
| 24043     | Washington                 | 0.031      | 0.047       |
| 24045     | Wicomico                   | 0.006      | 0.011       |
| 24047     | Worcester                  | 0.003      | 0.004       |
| 24510     | Baltimore city             | 0.024      | 0.032       |
| 25001     | Barnstable                 | 0.019      | 0.007       |
| 25003     | Berkshire                  | 0.030      | 0.004       |
| 25005     | Bristol                    | 0.016      | 0.020       |
| 25007     | Dukes                      | 0.006      | 0.010       |
| 25009     | Essex                      | 0.023      | 0.010       |
| 25011     | Franklin                   | 0.043      | 0.011       |
| 25013     | Hampden                    | 0.013      | 0.017       |
| 25015     | Hampshire                  | 0.011      | 0.006       |
| 25017     | Middlesex                  | 0.023      | 0.011       |
| 25019     | Nantucket                  | 0.015      | 0.003       |
| 25021     | Norfolk                    | 0.020      | 0.015       |
| 25023     | Plymouth                   | 0.014      | 0.017       |
| 25025     | Suffolk                    | 0.020      | 0.007       |
| 25027     | Worcester                  | 0.020      | 0.027       |
| 26003     | Alger                      | 0.025      | 0.034       |
| 26005     | Allegan                    | 0.050      | 0.035       |
| 26007     | Alpena                     | 0.025      | 0.040       |
| 26009     | Antrim                     | 0.027      | 0.042       |
| 26013     | Baraga                     | 0.012      | 0.063       |
| 26017     | Bay                        | 0.014      | 0.055       |
| 26019     | Benzie                     | 0.010      | 0.049       |
| 26021     | Berrien                    | 0.039      | 0.037       |
| 26029     | Charlevoix                 | 0.027      | 0.057       |
| 26031     | Cheboygan                  | 0.027      | 0.052       |
